,Code,Name,Country,Exchange,Currency,Type,Isin,F-Score,PEG-Ratio,Industry,Sector,Price to Book,Market Cap,50 Day Av,200 Day Av,Profit Margin,Gross Margin
0,14D.AX,1414 Degrees Limited,Australia,AU,AUD,Common Stock,AU0000010696,,,Utilities—Independent Power Producers,Utilities,1.8103448,21032550.0,0.120069444,0.15333098,0.0,1.0
1,1AD.AX,AdAlta Limited,Australia,AU,AUD,Common Stock,AU0000001AD2,,,Biotechnology,Healthcare,3.8461537,24518000.0,0.09188889,0.13669366,-1.41261,0.94949996
2,1AG.AX,Alterra Limited,Australia,AU,AUD,Common Stock,AU0000001AG5,1,,Asset Management,Financial Services,1.6153846,11666592.0,0.04227778,0.043958656,0.0,0.0
3,1ST.AX,1st Group Limited,Australia,AU,AUD,Common Stock,AU0000001ST0,3,,Health Information Services,Healthcare,,7643105.0,0.020194445,0.023292253,-1.1876,0.21521
4,1VG.AX,Victory Goldfields Ltd,Australia,AU,AUD,Common Stock,,1,,Gold,Basic Materials,38.75,14580664.0,0.23409091,0.23409091,0.0,0.0
5,29M.AX,29Metals Ltd,Australia,AU,AUD,Common Stock,AU0000157067,4,,Other Precious Metals & Mining,Basic Materials,1.6265061,1167505664.0,2.3652778,2.3123405,0.0531,0.10778
6,2BE.AX,Tubi Limited,Australia,AU,AUD,Common Stock,AU0000046799,,,Specialty Industrial Machinery,Industrials,1.0208333,15254043.0,0.049,0.05016084,-0.63416,-0.14033
7,360.AX,Life360 Inc,Australia,AU,AUD,Common Stock,AU0000045098,2,,Software—Application,Technology,24.869791,1559371648.0,8.393056,6.202324,-0.21781,0.8051
8,3DA.AX,Amaero International Ltd,Australia,AU,AUD,Common Stock,AU0000064578,,,Specialty Industrial Machinery,Industrials,7.333333,111109904.0,0.5359028,0.5891021,0.0,0.15736
9,3DP.AX,Pointerra Limited,Australia,AU,AUD,Common Stock,AU0000003DP6,,,Software—Application,Technology,54.285713,264344336.0,0.41666666,0.5500704,-0.37889,0.92164004
10,3MF.AX,3D Metalforge Limited,Australia,AU,AUD,Common Stock,AU0000130122,1,,Metal Fabrication,Industrials,6.5384617,32320232.0,0.13736111,0.17789179,0.0,0.0
11,3PL.AX,3P Learning Limited,Australia,AU,AUD,Common Stock,AU0000003PL9,,,Education & Training Services,Consumer Defensive,1.7872341,348369824.0,1.2584028,1.2791021,-0.16309,0.32762
12,4DS.AX,4DS Memory Limited,Australia,AU,AUD,Common Stock,AU0000004DS8,,,Semiconductors,Technology,50,198142512.0,0.17291667,0.17070423,0.0,1.0
13,4DX.AX,4DMedical Limited,Australia,AU,AUD,Common Stock,AU0000095416,3,,Medical Devices,Healthcare,5.474453,441737984.0,1.5072222,1.494331,0.0,0.57667
14,5GG.AX,Pentanet Limited,Australia,AU,AUD,Common Stock,AU0000129496,2,,Telecom Services,Communication Services,4.392857,181300784.0,0.61486113,0.7225352,-1.25465,-0.07575
15,5GN.AX,5G Networks Limited,Australia,AU,AUD,Common Stock,AU0000005GN9,3,,Telecom Services,Communication Services,1.4809384,118029608.0,1.00375,1.0781338,-0.0574,0.19976999
16,88E.AX,88 Energy Limited,Australia,AU,AUD,Common Stock,AU00000088E2,5,,Oil & Gas E&P,Energy,4.7142854,446968512.0,0.038222224,0.028077465,0.0,1.0
17,8CO.AX,8common Limited,Australia,AU,AUD,Common Stock,AU0000008CO0,,,Software—Application,Technology,6.3461537,36557400.0,0.16631944,0.17183098,-0.37488997,-0.022090001
18,8EC.AX,8IP Emerging Companies Limited,Australia,AU,AUD,Common Stock,AU0000008EC1,,,Asset Management,Financial Services,,37971.0,0.033,0.038909722,0.0,0.0
19,8IH.AX,8I Holdings Limited,Australia,AU,AUD,Common Stock,AU0000008IH1,,,Education & Training Services,Consumer Defensive,2.3737373,85013368.0,0.24194445,0.21650347,0.24375,0.81144
20,8VI.AX,8VI Holdings Limited,Australia,AU,AUD,Common Stock,AU0000026007,,,Education & Training Services,Consumer Defensive,17.971016,210211744.0,5.26,3.7774649,0.22578,0.77295995
