,Code,Name,Country,Exchange,Currency,Type,Isin,F-Score,PEG-Ratio,Industry,Sector,Price to Book,Market Cap,50 Day Av,200 Day Av,Profit Margin,Gross Margin
0,0001.HK,CK Hutchison Holdings Limited,Hong Kong,HK,HKD,Common Stock,KYG217651051,,,,,,,,,,
1,0002.HK,CLP Holdings Limited,Hong Kong,HK,HKD,Common Stock,HK0002007356,,,,,,,,,,
2,0003.HK,The Hong Kong and China Gas Company Limited,Hong Kong,HK,HKD,Common Stock,HK0003000038,,,,,,,,,,
3,0004.HK,Wharf (Holdings) Limited,Hong Kong,HK,HKD,Common Stock,HK0004000045,,,,,,,,,,
4,0005.HK,HSBC Holdings plc,Hong Kong,HK,HKD,Common Stock,GB0005405286,,,,,,,,,,
5,0006.HK,Power Assets Holdings Limited,Hong Kong,HK,HKD,Common Stock,HK0006000050,,,,,,,,,,
6,0008.HK,PCCW Limited,Hong Kong,HK,HKD,Common Stock,HK0008011667,,,,,,,,,,
7,0009.HK,Keyne Ltd,Hong Kong,HK,HKD,Common Stock,BMG525871056,,,,,,,,,,
8,0010.HK,Hang Lung Group Limited,Hong Kong,HK,HKD,Common Stock,HK0010000088,,,,,,,,,,
9,0011.HK,Hang Seng Bank Limited,Hong Kong,HK,HKD,Common Stock,HK0011000095,,,,,,,,,,
10,0012.HK,Henderson Land Development Company Limited,Hong Kong,HK,HKD,Common Stock,HK0012000102,,,,,,,,,,
11,0013.HK,HUTCHMED (China) Limited,Hong Kong,HK,HKD,Common Stock,KYG4672N1198,,,,,,,,,,
12,0014.HK,Hysan Development Company Limited,Hong Kong,HK,HKD,Common Stock,HK0014000126,,,,,,,,,,
13,0016.HK,Sun Hung Kai Properties Limited,Hong Kong,HK,HKD,Common Stock,HK0016000132,,,,,,,,,,
14,0017.HK,New World Development Company Limited,Hong Kong,HK,HKD,Common Stock,HK0000608585,,,,,,,,,,
15,0018.HK,Oriental Press Group Limited,Hong Kong,HK,HKD,Common Stock,HK0018000155,,,,,,,,,,
16,0019.HK,Swire Pacific Limited,Hong Kong,HK,HKD,Common Stock,HK0019000162,,,,,,,,,,
17,0020.HK,Wheelock and Company Limited,Hong Kong,HK,HKD,Common Stock,HK0020000177,,,,,,,,,,
18,0020-OL.HK,WHEELOCK,Hong Kong,HK,HKD,Common Stock,,,,,,,,,,,
19,0021.HK,Great China Properties Holdings Limited,Hong Kong,HK,HKD,Common Stock,HK0000132420,,,,,,,,,,
20,0022.HK,Mexan Limited,Hong Kong,HK,HKD,Common Stock,BMG6051D1175,,,,,,,,,,
21,0023.HK,The Bank of East Asia Limited,Hong Kong,HK,HKD,Common Stock,HK0023000190,,,,,,,,,,
22,0025.HK,Chevalier International Holdings Limited,Hong Kong,HK,HKD,Common Stock,BMG2097Z1471,,,,,,,,,,
23,0026.HK,China Motor Bus Company Limited,Hong Kong,HK,HKD,Common Stock,HK0026000205,,,,,,,,,,
24,0027.HK,Galaxy Entertainment Group Limited,Hong Kong,HK,HKD,Common Stock,HK0027032686,,,Resorts & Casinos,Consumer Cyclical,2.7993972,193745960960.0,53.97286,64.16338,-0.00981,0.53793
25,0028.HK,Tian An China Investments Company Limited,Hong Kong,HK,HKD,Common Stock,HK0028013271,,,,,,,,,,
26,0029.HK,Dynamic Holdings Limited,Hong Kong,HK,HKD,Common Stock,BMG2889K1678,,,,,,,,,,
27,0030.HK,Ban Loong Holdings Limited,Hong Kong,HK,HKD,Common Stock,BMG0865U1009,,,,,,,,,,
28,0031.HK,China Aerospace International Holdings Limited,Hong Kong,HK,HKD,Common Stock,HK0031044180,,,,,,,,,,
29,0032.HK,The Cross-Harbour (Holdings) Limited,Hong Kong,HK,HKD,Common Stock,HK0032009356,,,,,,,,,,
