,Code,Name,Country,Exchange,Currency,Type,Isin
0,0A00.L,Akzo Nobel N.V.,UK,LSE,EUR,Common Stock,
1,0A02.L,Neoen S.A.,UK,LSE,EUR,Common Stock,FR0011675362
2,0A05.L,Medacta Group S.A.,UK,LSE,CHF,Common Stock,
3,0A0C.L,Stadler Rail AG,UK,LSE,CHF,Common Stock,CH0002178181
4,0A0D.L,Alcon Inc.,UK,LSE,USD,Common Stock,
5,0A0F.L,Citycon Oyj,UK,LSE,EUR,Common Stock,FI4000369947
6,0A0H.L,Beijer Ref AB Series B,UK,LSE,SEK,Common Stock,
7,0A0I.L,Wihlborgs Fastigheter AB (publ),UK,LSE,SEK,Common Stock,
8,0A0J.L,AAK AB,UK,LSE,SEK,Common Stock,
9,0A0K.L,Nyfosa AB,UK,LSE,SEK,Common Stock,
10,0A18.L,CGI Inc. Cl A,UK,LSE,CAD,Common Stock,
11,0A1K.L,NIO Inc. ADR,UK,LSE,USD,Common Stock,US62914V1061
12,0A1V.L,Tethys Oil AB,UK,LSE,SEK,Common Stock,SE0015949847
13,0A28.L,Prosus N.V.,UK,LSE,EUR,Common Stock,
14,0A29.L,Solutions 30 SE,UK,LSE,EUR,Common Stock,
15,0A2N.L,Lynas Rare Earths Ltd.,UK,LSE,AUD,Common Stock,
16,0A37.L,Betsson AB Series B,UK,LSE,SEK,Common Stock,SE0015672282
17,0A39.L,Karnov Group AB,UK,LSE,SEK,Common Stock,
18,0A3M.L,BioNTech SE ADR,UK,LSE,USD,Common Stock,
19,0A3N.L,CrowdStrike Holdings Inc. Cl A,UK,LSE,USD,Common Stock,
20,0A3P.L,Fastly Inc. Cl A,UK,LSE,USD,Common Stock,
21,0A3R.L,Nikola Corp.,UK,LSE,USD,Common Stock,
22,0A3S.L,Novavax Inc.,UK,LSE,USD,Common Stock,
23,0A45.L,Moderna Inc.,UK,LSE,USD,Common Stock,
24,0A4F.L,Ideanomics Inc.,UK,LSE,USD,Common Stock,
25,0A4G.L,Qurate Retail Inc. Series A,UK,LSE,USD,Common Stock,
26,0A4J.L,AstraZeneca PLC ADR,UK,LSE,USD,Common Stock,
27,0A4S.L,SunRun Inc.,UK,LSE,USD,Common Stock,
28,0A4V.L,Callinex Mines Inc.,UK,LSE,CAD,Common Stock,
29,0A4Y.L,AIM ImmunoTech Inc.,UK,LSE,USD,Common Stock,
30,0A53.L,Maxar Technologies Inc.,UK,LSE,USD,Common Stock,
31,0A60.L,FuelCell Energy Inc.,UK,LSE,USD,Common Stock,
32,0A65.L,ViacomCBS Inc. Cl B,UK,LSE,USD,Common Stock,
33,0A6B.L,DuPont de Nemours Inc.,UK,LSE,USD,Common Stock,
34,0A6H.L,Rite Aid Corp.,UK,LSE,USD,Common Stock,
35,0A6Y.L,Xerox Holdings Corp.,UK,LSE,USD,Common Stock,
36,0A72.L,Apollo Global Management Inc. Cl A,UK,LSE,USD,Common Stock,
37,0A77.L,Cigna Corp.,UK,LSE,USD,Common Stock,
38,0A8Q.L,ZW Data Action Technologies Inc.,UK,LSE,USD,Common Stock,
39,0A9N.L,NACON SASU,UK,LSE,EUR,Common Stock,
40,0A9Z.L,Acast AB,UK,LSE,SEK,Common Stock,
41,0ACT.L,AlzChem Group AG,UK,LSE,EUR,Common Stock,
42,0AH3.L,Great-West Lifeco Inc.,UK,LSE,CAD,Common Stock,
43,0AH7.L,BayWa Aktiengesellschaft,UK,LSE,EUR,Common Stock,DE0005194062
44,0AI4.L,Carlsberg A/S B,UK,LSE,DKK,Common Stock,DK0010181759
45,0AJ1.L,Maple Gold Mines Ltd.,UK,LSE,CAD,Common Stock,
46,0AMJ.L,Trisura Group Ltd.,UK,LSE,CAD,Common Stock,
47,0APM.L,Danieli & C. Officine Meccaniche S.p.A.,UK,LSE,EUR,Common Stock,IT0000076502
48,0B4R.L,Fuchs Petrolub SE,UK,LSE,EUR,Common Stock,DE000A3E5D56
49,0B67.L,Galp Energia SGPS S/A,UK,LSE,GBP,Common Stock,PTGAL0AM0009
50,0BFA.L,BASF SE,UK,LSE,GBP,Common Stock,
51,0BJP.L,Webuild S.p.A.,UK,LSE,GBP,Common Stock,
52,0BNS.L,Kesko Oyj Series A,UK,LSE,EUR,Common Stock,
53,0BNT.L,Kesko Oyj,UK,LSE,GBP,Common Stock,FI0009000202
54,0BQE.L,KSB SE & Co. KGaA,UK,LSE,EUR,Common Stock,
55,0CDX.L,wallstreet:online AG,UK,LSE,EUR,Common Stock,
56,0CHZ.L,q.beyond AG,UK,LSE,EUR,Common Stock,
57,0CIJ.L,Raisio Oyj Series V,UK,LSE,EUR,Common Stock,
58,0CX9.L,Stora Enso Oyj Series A,UK,LSE,EUR,Common Stock,
59,0CXC.L,Stora Enso Oyj,UK,LSE,GBP,Common Stock,FI0009005961
60,0CY2.L,Artefact S.A.,UK,LSE,EUR,Common Stock,
61,0D00.L,MGI Digital Technology,UK,LSE,EUR,Common Stock,
