,Code,Name,Country,Exchange,Currency,Type,Isin,F-Score,PEG-Ratio,Industry,Sector,Price to Book,Market Cap,50 Day Av,200 Day Av,Profit Margin,Gross Margin
0,ABRD.ME,Public Joint Stock Company Abrau-Durso,Russia,MCX,RUB,Common Stock,RU000A0JS5T7,5,,Beverages—Wineries & Distilleries,Consumer Defensive,1.8727677,19012038656.0,194.75714,203.44014,0.12667,0.41015
1,ACKO.ME,Public joint-stock company Asko-Strakhovanie,Russia,MCX,RUB,Common Stock,RU000A0JXS91,6,,Insurance—Diversified,Financial Services,1.6681403,3033760000.0,5.7,5.7,0.00989,0.12794
2,AFKS.ME,Sistema Public Joint Stock Financial Corporation,Russia,MCX,RUB,Common Stock,RU000A0DQZE3,7,,Telecom Services,Communication Services,4.3188386,295518633984.0,29.710571,32.61843,0.01859,0.51625
3,AFLT.ME,Public Joint Stock Company Aeroflot - Russian Airlines,Russia,MCX,RUB,Common Stock,RU0009062285,3,,Airlines,Industrials,,164990205952.0,67.559425,68.28324,-0.26037002,0.15015
4,AGRO.ME,Ros Agro PLC,Russia,MCX,RUB,Common Stock,US7496552057,7,,Farm Products,Consumer Defensive,1.2350578,167708524544.0,1117.8,984.56195,0.16856001,0.27859
9,AKRN.ME,Public Joint Stock Company Acron,Russia,MCX,RUB,Common Stock,RU0009028674,5,,Agricultural Inputs,Basic Materials,3.7346635,258151464960.0,6118.7427,6054.817,0.22705999,0.55596
11,ALBK.ME,Public Joint Stock Company Best Efforts Bank,Russia,MCX,RUB,Common Stock,RU000A0JS2M9,6,,Banks—Regional,Financial Services,7.0549383,7965089792.0,108.185715,73.51057,0.375,0.0
12,ALNU.ME,PJSC ALROSA-Nyurba,Russia,MCX,RUB,Common Stock,RU000A0JP468,,,Other Precious Metals & Mining,Basic Materials,0.8877723,52320002048.0,65348.57,63960.562,0.54597,0.64247
13,ALRS.ME,Public Joint Stock Company ALROSA,Russia,MCX,RUB,Common Stock,RU0007252813,5,,Other Precious Metals & Mining,Basic Materials,4.2301583,1056796049408.0,134.92485,119.92176,0.26816,0.48901
14,AMEZ.ME,"Public Joint Stock Company ""Ashinskiy metallurgical works""",Russia,MCX,RUB,Common Stock,RU000A0B88G6,6,,Steel,Basic Materials,0.74857527,8834736128.0,16.544714,11.641866,0.10342,0.23658001
15,APTK.ME,Public Joint-Stock Company Pharmacy Chain 36.6,Russia,MCX,RUB,Common Stock,RU0008081765,4,,Pharmaceutical Retailers,Healthcare,,103148150784.0,13.544515,13.661789,0.16174,0.34143
16,AQUA.ME,PJSC Russian Aquaculture,Russia,MCX,RUB,Common Stock,RU000A0JQTS3,5,,Farm Products,Consumer Defensive,3.3593547,39717597184.0,461.3,341.7993,0.3734,0.42179
17,ARSA.ME,Arsagera Asset Management,Russia,MCX,RUB,Common Stock,RU000A0JP0Q7,,,Asset Management,Financial Services,3.7242026,983107008.0,7.2642856,5.6127467,0.50706,0.7408
18,ASSB.ME,Astrakhan Power Sale Company Public Joint-Stock Company,Russia,MCX,RUB,Common Stock,RU000A0D8MM8,,,Utilities—Regulated Electric,Utilities,4.8197675,634605312.0,0.82388574,0.93307745,0.01036,0.51463
