,Code,Name,Country,Exchange,Currency,Type,Isin,F-Score,PEG ratio,Industry,Sector,Price to Book,Market Cap,50 Day Av,200 Day Av,Profit Margin,Gross Margin
0,1.SZ,Ping An Bank Co. Ltd,,SHE,CNY,Common Stock,CNE000000040,,,,,,,,,,
1,2.SZ,China Vanke Co. Ltd,,SHE,CNY,Common Stock,CNE0000000T2,,,,,,,,,,
2,4.SZ,Shenzhen GuoHua Network Security Technology Co. Ltd,,SHE,CNY,Common Stock,CNE0000000Y2,,,,,,,,,,
3,5.SZ,Shenzhen Fountain Corporation,,SHE,CNY,Common Stock,CNE0000001L7,,,,,,,,,,
4,6.SZ,Shenzhen Zhenye (Group) Co.Ltd,,SHE,CNY,Common Stock,CNE000000164,,,,,,,,,,
5,7.SZ,Shenzhen Quanxinhao Co. Ltd,,SHE,CNY,Common Stock,CNE0000000P0,,,,,,,,,,
6,8.SZ,China High-Speed Railway Technology Co. Ltd,,SHE,CNY,Common Stock,CNE0000001C6,,,,,,,,,,
7,9.SZ,China Baoan Group Co. Ltd,,SHE,CNY,Common Stock,CNE000000222,,,,,,,,,,
8,10.SZ,Shenzhen Ecobeauty Co. Ltd,,SHE,CNY,Common Stock,CNE000000156,,,,,,,,,,
9,11.SZ,Shenzhen Properties & Resources Development (Group) Ltd,,SHE,CNY,Common Stock,,,,,,,,,,,
10,12.SZ,CSG Holding Co. Ltd,,SHE,CNY,Common Stock,CNE0000002R2,,,,,,,,,,
11,14.SZ,Shahe Industrial Co. Ltd,,SHE,CNY,Common Stock,CNE0000003G3,,,,,,,,,,
12,16.SZ,Konka Group Co. Ltd,,SHE,CNY,Common Stock,CNE0000002T8,,,,,,,,,,
13,17.SZ,Shenzhen China Bicycle Company (Holdings) Limited,,SHE,CNY,Common Stock,,,,,,,,,,,
14,19.SZ,Shenzhen Cereals Holdings Co. Ltd,,SHE,CNY,Common Stock,CNE000000354,,,,,,,,,,
15,20.SZ,Shenzhen Zhongheng Huafa Co. Ltd,,SHE,CNY,Common Stock,,,,,,,,,,,
16,21.SZ,Shenzhen Kaifa Technology Co. Ltd,,SHE,CNY,Common Stock,CNE000000FK4,,,,,,,,,,
17,23.SZ,Shenzhen Universe Group Co. Ltd,,SHE,CNY,Common Stock,CNE000000834,,,,,,,,,,
18,25.SZ,Shenzhen Tellus Holding Co. Ltd,,SHE,CNY,Common Stock,CNE0000008N8,,,,,,,,,,
19,26.SZ,FIYTA Precision Technology Co. Ltd,,SHE,CNY,Common Stock,CNE000000875,,,,,,,,,,
20,27.SZ,Shenzhen Energy Group Co. Ltd,,SHE,CNY,Common Stock,CNE000000933,,,,,,,,,,
21,28.SZ,China National Accord Medicines Corporation Ltd,,SHE,CNY,Common Stock,CNE0000009N6,,,,,,,,,,
22,29.SZ,Shenzhen Special Economic Zone Real Estate & Properties (Group) Co. Ltd,,SHE,CNY,Common Stock,CNE0000009X5,,,,,,,,,,
23,30.SZ,FAWER Automotive Parts Limited Company,,SHE,CNY,Common Stock,,,,,,,,,,,
24,31.SZ,Grandjoy Holdings Group Co. Ltd,,SHE,CNY,Common Stock,CNE000000BJ5,,,,,,,,,,
