,Code,Name,Country,Exchange,Currency,Type,Isin,F-Score,PEG-Ratio,Industry,Sector,Price to Book,Market Cap,50 Day Av,200 Day Av,Profit Margin,Gross Margin
0,AAB.TO,Aberdeen International Inc,Canada,TO,CAD,Common Stock,CA0030691012,,,Asset Management,Financial Services,0.6354515,26039880.0,0.21757576,0.25830883,0.58731,1.0
1,AAV.TO,Advantage Energy Ltd,Canada,TO,CAD,Common Stock,CA00791P1071,5,-9.97,Oil & Gas E&P,Energy,1.087509,1143065600.0,4.8321214,3.8483822,0.03443,0.67805
2,ABST.TO,Absolute Software Corporation,Canada,TO,CAD,Common Stock,CA00386B1094,,,Software—Application,Technology,28.820227,762003520.0,15.9290905,17.299852,0.0309,0.86862
3,ABX.TO,Barrick Gold Corporation,Canada,TO,CAD,Common Stock,CA0679011084,7,,Gold,Basic Materials,1.8859847,44676714496.0,25.70303,26.55022,0.19861001,0.43464002
4,AC.TO,Air Canada,Canada,TO,CAD,Common Stock,CA0089118776,2,-0.03,Airlines,Industrials,14.959702,8632024064.0,24.66788,25.950735,-1.3698399,-0.59459996
5,ACB.TO,Aurora Cannabis Inc,Canada,TO,CAD,Common Stock,CA05156X8843,4,,Drug Manufacturers—Specialty & Generic,Healthcare,0.8234867,1793698944.0,8.932425,10.622132,0.0,-0.56801
6,ACD.TO,Accord Financial Corp,Canada,TO,CAD,Common Stock,CA00435L1085,6,,Credit Services,Financial Services,0.775689,72750736.0,8.708485,8.092206,0.18025999,1.0
7,ACO-X.TO,ATCO Ltd,Canada,TO,CAD,Common Stock,CA0467894006,5,-38.37,Utilities—Diversified,Utilities,1.1771027,4768153600.0,43.057274,42.624043,0.05386,0.65932
8,ACQ.TO,AutoCanada Inc,Canada,TO,CAD,Common Stock,CA05277B2093,4,0.51,Auto & Truck Dealerships,Consumer Cyclical,3.0010016,1250787968.0,49.819393,42.981544,0.02794,0.16813
9,AD-UN.TO,Alaris Equity Partners Income Trust,Canada,TO,CAD,Common Stock,,6,1.07,Asset Management,Financial Services,1.1802466,834949888.0,17.836061,16.77343,0.62096,1.0
10,ADCO.TO,Adcore Inc,Canada,TO,CAD,Common Stock,CA00654B1040,4,,Software—Application,Technology,6.460674,72672640.0,1.23,1.5552189,-0.01298,0.32144
11,ADN.TO,Acadian Timber Corp,Canada,TO,CAD,Common Stock,CA0042721005,4,8.14,Lumber & Wood Production,Basic Materials,1.0821517,314548064.0,18.078182,18.92978,0.34912997,0.31838
12,ADW-A.TO,Andrew Peller Limited,Canada,TO,CAD,Common Stock,,5,,Beverages—Wineries & Distilleries,Consumer Defensive,1.4116875,389857792.0,8.662121,10.058309,0.05135,0.39032
13,ADW-B.TO,Andrew Peller Limited,Canada,TO,CAD,Common Stock,,5,,Beverages—Wineries & Distilleries,Consumer Defensive,1.7235719,395297696.0,10.961515,12.297059,0.05135,0.39032
14,AEG.TO,Aegis Brands Inc,Canada,TO,CAD,Common Stock,CA00775H1055,,,Restaurants,Consumer Cyclical,2.2160666,18332800.0,0.9206061,1.2072794,-1.91739,0.26292
15,AEM.TO,Agnico Eagle Mines Limited,Canada,TO,CAD,Common Stock,CA0084741085,7,,Gold,Basic Materials,2.9995015,17590482944.0,74.78939,78.04206,0.19780001,0.57905
16,AEZS.TO,Aeterna Zentaris Inc,Canada,TO,CAD,Common Stock,CA0079754028,,,Biotechnology,Healthcare,1.7169813,110250144.0,0.89575756,1.1561764,-2.3322701,0.52859
17,AFN.TO,Ag Growth International Inc,Canada,TO,CAD,Common Stock,CA0011811068,2,1.23,Farm & Heavy Construction Machinery,Industrials,2.0165823,552657152.0,30.192425,38.01478,-0.00028,0.21576001
18,AGF-B.TO,AGF Management Limited,Canada,TO,CAD,Common Stock,,6,0.51,Asset Management,Financial Services,0.5059174,512005568.0,7.4527273,7.5092645,0.36668998,0.88355005
19,AGI.TO,Alamos Gold Inc,Canada,TO,CAD,Common Stock,CA0115321089,,1.69,Gold,Basic Materials,1.4190462,3846921728.0,9.782424,10.104632,0.027090002,0.59896
20,AGR-UN.TO,Sustainable Agriculture & Wellness Dividend Fund,Canada,TO,CAD,Common Stock,,,,,,,,9.330606,9.48434,0.0,0.0
21,AH.TO,Aleafia Health Inc,Canada,TO,CAD,Common Stock,CA01444Q1046,3,,Drug Manufacturers—Specialty & Generic,Healthcare,0.68725103,114019736,0.3512121,0.4827059,0.0,-0.08927
22,AHC.TO,Apollo Healthcare Corp,Canada,TO,CAD,Common Stock,CA0376311084,7,,Household & Personal Products,Consumer Defensive,1.6324981,157443216,2.6127272,3.4384673,0.24825001,0.43196
23,AI.TO,Atrium Mortgage Investment Corporation,Canada,TO,CAD,Common Stock,CA04964G1000,6,,Mortgage Finance,Financial Services,1.3326012,618505920,14.53091,13.992279,0.81412005,0.85285
24,AIF.TO,Altus Group Limited,Canada,TO,CAD,Common Stock,CA02215R1073,7,1.06,Real Estate Services,Real Estate,7.2421927,2796414208,62.260303,60.089043,0.05553,0.36968
25,AII.TO,Almonty Industries Inc,Canada,TO,CAD,Common Stock,CA0203981034,2,,Other Industrial Metals & Mining,Basic Materials,6.1437907,177983360,0.97636366,1.0755147,-0.35821,0.01551
26,AIM.TO,Aimia Inc,Canada,TO,CAD,Common Stock,CA00900Q1037,1,-24.55,Specialty Business Services,Industrials,0.9016394,376426976,4.4251513,4.709559,-0.145,0.26
27,AJX.TO,AgJunction Inc,Canada,TO,CAD,Common Stock,CA00847V1085,,-3135,Communication Equipment,Technology,2.6704545,56913240,0.4842424,0.48389706,-0.53119,0.44492
28,AKT-A.TO,AKITA Drilling Ltd,Canada,TO,CAD,Common Stock,,,-0.03,Oil & Gas Drilling,Energy,0.29066667,44009840,0.84515154,1.0136765,-0.53246,0.25544
29,AKU.TO,Akumin Inc,Canada,TO,CAD,Common Stock,CA01021F1099,3,,Diagnostics & Research,Healthcare,1.5041494,206774064,3.4278789,3.8440442,-0.09078,0.29781
30,ALA.TO,AltaGas Ltd,Canada,TO,CAD,Common Stock,CA0213611001,7,1.62,Utilities—Regulated Gas,Utilities,1.1604937,7097719296,25.87303,23.74228,0.05456,0.33676997
31,ALA-PB.TO,ALA-PB,Canada,TO,CAD,Common Stock,,,,,,,,18.50853,17.905323,,
32,ALA-PE.TO,AltaGas Ltd,Canada,TO,CAD,Common Stock,,7,,Utilities—Regulated Gas,Utilities,1.1495198,7662520320,24.920303,23.752972,0.05456,0.33676997
33,ALA-PG.TO,AltaGas Ltd,Canada,TO,CAD,Common Stock,,7,,Utilities—Regulated Gas,Utilities,1.1028806,8826883072,23.594849,22.115507,0.05456,0.33676997
34,ALA-PH.TO,AltaGas Ltd,Canada,TO,CAD,Common Stock,,7,,Utilities—Regulated Gas,Utilities,0.9967992,,20.989412,19.868488,0.05456,0.33676997
35,ALA-PK.TO,AltaGas Ltd,Canada,TO,CAD,Common Stock,,7,,Utilities—Regulated Gas,Utilities,1.1678097,6917356032,25.444546,25.37587,0.05456,0.33676997
36,ALA-PU.TO,AltaGas Ltd,Canada,TO,USD,Common Stock,,7,,Utilities—Regulated Gas,Utilities,1.1316872,5559542784,24.339394,23.038406,0.05456,0.33676997
37,ALC.TO,Algoma Central Corporation,Canada,TO,CAD,Common Stock,CA0156441077,7,,Marine Shipping,Industrials,1.2072575,653955520,16.275757,16.560955,0.11113,0.33765998
38,ALS.TO,Altius Minerals Corporation,Canada,TO,CAD,Common Stock,CA0209361009,3,,Other Industrial Metals & Mining,Basic Materials,1.9179368,678248000,16.683636,16.579926,-0.00301,0.93279
