,Unnamed: 0,Code,Name,Country,Exchange,Currency,Type,Isin,F-Score,PEG-Ratio,Industry,Sector,Price to Book,Market Cap,50 Day Av,200 Day Av,Profit Margin,Gross Margin
0,0,A,Agilent Technologies Inc,USA,NYSE,USD,Common Stock,US00846U1016,7.0,0.77,Diagnostics & Research,Healthcare,10.880965,53766635520.0,160.94057,140.6566,0.16118999,0.53647
1,1,AA,Alcoa Corporation,USA,NYSE,USD,Common Stock,US0138721065,3.0,0.05,Aluminum,Basic Materials,2.3222609,8752803840.0,40.872,35.97326,0.041199997,0.19532
2,2,AAALF,Aareal Bank AG,USA,OTCGREY,USD,Common Stock,,5.0,,,,0.5150955,1275408768.0,20.7758,18.946022,-0.11328,0.0
3,3,AAALY,Aareal Bank AG,USA,PINK,USD,Common Stock,US00254K1088,5.0,,Banks—Regional,Financial Services,0.5045833,1436572800.0,27.78,27.218714,-0.11328,0.0
4,4,AABB,Asia Broadband Inc,USA,PINK,USD,Common Stock,US04518L1008,4.0,,Other Industrial Metals & Mining,Basic Materials,118.1,48615512.0,0.11720555,0.17700745,0.0,1.0
5,5,AABVF,Aberdeen International Inc,USA,PINK,USD,Common Stock,,,,Asset Management,Financial Services,0.5197324,21297880.0,0.17428571,0.20688406,0.58731,1.0
6,6,AAC,Ares Acquisition Corporation,USA,NYSE,USD,Common Stock,KYG330321061,,,Shell Companies,Financial Services,242.75,1213750016.0,9.720857,9.784122,0.0,0.0
7,7,AACAF,AAC Technologies Holdings Inc,USA,PINK,USD,Common Stock,,5.0,,Communication Equipment,Technology,0.29499665,6640007168.0,6.3234286,5.6965218,0.117639996,0.26933
8,8,AACAY,AAC Technologies Holdings Inc,USA,PINK,USD,Common Stock,US0003041052,5.0,,Communication Equipment,Technology,0.3010848,6579516416.0,5.923143,5.959203,0.117639996,0.26933
9,9,AACG,ATA Creativity Global,USA,NASDAQ,USD,Common Stock,US00211V1061,,-0.18,Education & Training Services,Consumer Defensive,0.41106415,89394216.0,2.894,3.3735507,-0.25116,0.39574
10,10,AACIU,Armada Acquisition Corp. I Unit,USA,NASDAQ,USD,Common Stock,US04208V2025,,,Shell Companies,Financial Services,1970.0001,,9.8515625,9.8515625,0.0,0.0
11,11,AACS,American Commerce Solutions Inc,USA,PINK,USD,Common Stock,US0251991008,3.0,,Specialty Industrial Machinery,Industrials,3.0,3473430.0,0.0070414287,0.0032833333,-0.119090006,0.51278
12,12,AACTF,Aurora Solar Technologies Inc,USA,PINK,USD,Common Stock,CA05207J1084,2.0,,Solar,Technology,5.1400003,26631880.0,0.2076,0.24452898,0.0,-1.3653599
13,13,AADI,Aadi Bioscience Inc,USA,NASDAQ,USD,Common Stock,,,,Biotechnology,Healthcare,,576368000.0,6.343,2.8138769,0.0,0.0
14,14,AAEEF,Altair Resources Inc,USA,OTCGREY,USD,Common Stock,,,,,,,1709808.0,0.026530303,0.011225926,0.0,0.0
15,15,AAGC,All American Gold Corp,USA,PINK,USD,Common Stock,US01643V1026,,,Gold,Basic Materials,,206558.0,0.0013697222,0.0039555635,0.0,0.0
16,16,AAGEF,AAG Energy Holdings Limited,USA,PINK,USD,Common Stock,,4.0,,Oil & Gas E&P,Energy,,569103360.0,0.1677,0.1677,0.49038,0.81662005
17,17,AAGFF,Aftermath Silver Ltd,USA,OTCQX,USD,Common Stock,,2.0,,Other Industrial Metals & Mining,Basic Materials,,58208468.0,0.34771428,0.53276813,0.0,0.0
18,18,AAGH,America Great Health,USA,PINK,USD,Common Stock,US02365T1016,,,Packaged Foods,Consumer Defensive,,2848425728.0,0.140834,0.15000333,0.0,0.0
19,19,AAGIY,AIA Group Limited,USA,PINK,USD,Common Stock,US0013172053,4.0,,Insurance—Life,Financial Services,2.2704277,144288366592.0,48.200573,50.00674,0.11364,0.23028
20,20,AAGRY,PT Astra Agro Lestari Tbk,USA,PINK,USD,Common Stock,US0463011074,8.0,,Farm Products,Consumer Defensive,,1012386944.0,2.63,3.3349,0.053049996,0.19551
21,21,AAIC,Arlington Asset Investment Corp,USA,NYSE,USD,Common Stock,US0413562051,3.0,-1.45,REIT—Mortgage,Real Estate,,127898184.0,3.817143,3.9855797,0.62198,1.0
22,22,AAIGF,AIA Group Limited,USA,PINK,USD,Common Stock,HK0000069689,4.0,,Insurance—Life,Financial Services,2.340588,148439171072.0,12.028857,12.5091305,0.11364,0.23028
23,23,AAIIQ,Alabama Aircraft Industries Inc,USA,PINK,USD,Common Stock,US7064441063,5.0,,Aerospace & Defense,Industrials,,495474.0,0.04657143,0.07355072,-0.00171,0.12214
24,24,AAIN,AAIN,USA,NYSE,USD,Common Stock,,,,,,,,24.8702,24.8702,,
25,25,AAIRF,American Aires Inc,USA,OTCQB,USD,Common Stock,,,,Electronic Components,Technology,,9792497.0,0.080406286,0.13022248,-2.6960998,0.25735
26,26,AAL,American Airlines Group Inc,USA,NASDAQ,USD,Common Stock,US02376R1023,2.0,0.02,Airlines,Industrials,,12462071808.0,20.20857,21.804855,-0.61528,-0.65012
27,27,AALBF,Aalberts N.V,USA,PINK,USD,Common Stock,,6.0,,Specialty Industrial Machinery,Industrials,3.836325,6806198784.0,59.075714,53.568695,0.04494,0.61638
28,28,AAMAF,Atlas Mara Limited,USA,PINK,USD,Common Stock,,4.0,,Banks—Regional,Financial Services,0.33265615,103074064.0,0.6626857,0.45842028,-0.29299,0.0
29,29,AAMC,Altisource Asset Management Corporation,USA,NYSE MKT,USD,Common Stock,VI02153X1080,,,Asset Management,Financial Services,,55980584.0,16.167143,18.13029,0.0,0.0
30,30,AAME,Atlantic American Corporation,USA,NASDAQ,USD,Common Stock,US0482091008,6.0,,Insurance—Life,Financial Services,0.57861465,83904432.0,3.9894285,4.147464,0.07863,0.17294
31,31,AAMMF,Almadex Minerals Ltd,USA,PINK,USD,Common Stock,,,,Gold,Basic Materials,0.9655737,10705369.0,0.19488971,0.19994128,0.0,1.0
32,32,AAMTF,Armada Mercantile Ltd,USA,PINK,USD,Common Stock,,,,Capital Markets,Financial Services,73.333336,3949242.0,0.24034858,0.22431318,16.681921,0.94663
33,33,AAN,"Aaron’s Company Inc
",USA,NYSE,USD,Common Stock,US00258W1080,4.0,-0.71,Specialty Retail,Consumer Cyclical,1.2334673,959082368.0,27.977428,28.967682,0.05282,0.62775004
34,34,AANNF,Aroundtown SA,USA,PINK,USD,Common Stock,,5.0,,Real Estate Services,Real Estate,0.66491616,9894533120.0,7.7151427,7.5597215,0.48681,0.76553
35,35,AAOI,Applied Optoelectronics Inc,USA,NASDAQ,USD,Common Stock,US03823U1025,4.0,-0.7,Semiconductors,Technology,0.76279336,213016448.0,7.256,8.071957,-0.20135,0.22319001
36,36,AAON,AAON Inc,USA,NASDAQ,USD,Common Stock,US0003602069,,3.62,Building Products & Equipment,Industrials,9.236931,3446565888.0,65.66657,67.233406,0.14936,0.29353002
37,37,AAP,Advance Auto Parts Inc,USA,NYSE,USD,Common Stock,US00751Y1064,7.0,1.32,Specialty Retail,Consumer Cyclical,3.6922195,13036083200.0,208.57114,195.9705,0.059169997,0.44679
38,38,AAPJ,AAP Inc,USA,PINK,USD,Common Stock,US00037T1034,4.0,,Communication Equipment,Technology,,34223.0,0.084849715,0.097931914,0.002,0.89883006
39,39,AAPL,Apple Inc,USA,NASDAQ,USD,Common Stock,US0378331005,7.0,1.34,Consumer Electronics,Technology,37.62663,2603098832896.0,148.05629,133.93848,0.25004,0.41005
40,40,AAPT,All American Pet Company Inc,USA,PINK,USD,Common Stock,US01644F1066,,,Packaged Foods,Consumer Defensive,,11236550.0,0.0074568572,0.0044168085,0.0,0.0
41,41,AAQC,Accelerate Acquisition Corp,USA,NYSE,USD,Common Stock,US00439D1028,,,Shell Companies,Financial Services,,484000000.0,9.6564,9.681855,0.0,0.0
42,42,AAQC-WT,AAQC-WT,USA,NYSE,USD,Common Stock,,,,,,,,,,,
43,43,AASL,America's Suppliers Inc,USA,PINK,USD,Common Stock,,,,Internet Retail,Consumer Cyclical,,3492575.0,2.43,2.8787682,-0.01794,0.35002998
44,44,AASP,Global Acquisitions Corporation,USA,PINK,USD,Common Stock,US01643P1057,,,Shell Companies,Financial Services,,3960684.0,1.1194285,1.3385507,0.0,0.0
