,Code,Name,Country,Exchange,Currency,Type,Isin,F-Score,PEG-Ratio,Industry,Sector,Price to Book,Market Cap,50 Day Av,200 Day Av,Profit Margin,Gross Margin
0,02M.DE,The Mosaic Company,Germany,XETRA,EUR,Common Stock,,6.0,,Agricultural Inputs,Basic Materials,1.069907,10348393472.0,26.745428,27.230284,0.14246,0.19732
1,0GZA.DE,RICI Enhanced Natural Gas (ER) Index EUR Hedge ETC,Germany,XETRA,EUR,Common Stock,DE000PZ9REG5,,,,,,,,,,
2,0GZB.DE,BNP PAR.ISS. O.E. ETC,Germany,XETRA,EUR,Common Stock,,,,,,,,,,,
3,0GZC.DE,RICI Enhanced Nickel (ER) Index EUR Hedge ETC,Germany,XETRA,EUR,Common Stock,DE000PZ9REN1,,,,,,,,,,
4,0GZD.DE,RICI Enhanced Ind Metls (ER) Index EUR Hedge ETC,Germany,XETRA,EUR,Common Stock,DE000PZ9REM3,,,,,,,,,,
5,0GZE.DE,RICI Enhanced Gas Oil Excess Return Index,Germany,XETRA,EUR,Common Stock,DE000PZ9RED2,,,,,,,,,,
6,0GZF.DE,RICI Enhanced Gasoline Excess Return Index,Germany,XETRA,EUR,Common Stock,DE000PZ9RE14,,,,,,,,,,
7,0GZG.DE,RICI Enhanced Heating Oil Excess Return Index,Germany,XETRA,EUR,Common Stock,DE000PZ9REH3,,,,,,,,,,
8,0GZH.DE,RICI Enhanced Aluminum Excess Return Index,Germany,XETRA,EUR,Common Stock,DE000PZ9REA8,,,,,,,,,,
9,0GZI.DE,RICI Enhanced Zinc Excess Return Index,Germany,XETRA,EUR,Common Stock,DE000PZ9REZ5,,,,,,,,,,
10,0GZJ.DE,BNP PAR.ISS. O.E. ETC,Germany,XETRA,EUR,Common Stock,,,,,,,,,,,
11,0GZK.DE,BNP PAR.ISS. O.E. ETC,Germany,XETRA,EUR,Common Stock,,,,,,,,,,,
12,0GZL.DE,BNP PAR.ISS. O.E. ETC,Germany,XETRA,EUR,Common Stock,,,,,,,,,,,
13,0HV.DE,ENVISTA HOLDINGS   DL-01,Germany,XETRA,EUR,Common Stock,,,,,,,,35.42943,35.3095,,
14,0Q3.DE,Beyond Meat Inc,Germany,XETRA,EUR,Common Stock,US08862E1091,,,,,,,104.01,110.629715,,
15,0S6.DE,0S6,Germany,XETRA,EUR,Common Stock,,,,,,,,93.92343,86.75277,,
16,0YU.DE,YUM CHINA HLDGS    DL-01,Germany,XETRA,EUR,Common Stock,,,,,,,,52.424,52.6278,,
17,12DA.DE,DELL TECHS INC. C  DL-01,Germany,XETRA,EUR,Common Stock,,,,,,,,82.87886,80.1822,,
18,185.DE,ALCOA CORP. O.N.,Germany,XETRA,EUR,Common Stock,,,,,,,,34.774284,30.205454,,
19,1COV.DE,Covestro AG,Germany,XETRA,EUR,Common Stock,DE0006062144,5.0,,Specialty Chemicals,Basic Materials,1.7222104,11010177024.0,55.228,56.32468,0.07409,0.26661
20,1FC.DE,FACC AG,Germany,XETRA,EUR,Common Stock,,4.0,,Aerospace & Defense,Industrials,1.7225994,406615200.0,8.539429,9.013546,-0.18878001,-0.0121
21,1HM.DE,Adaptive Biotechnologies Corporation,Germany,XETRA,EUR,Common Stock,,,,,,,,29.908571,32.84397,,
22,1N8.DE,ADYEN N.V.         EO-01,Germany,XETRA,EUR,Common Stock,,,,,,,,2453.743,2078.6191,,
23,1NBA.DE,Anheuser-Busch InBev SA/NV,Germany,XETRA,EUR,Common Stock,,6.0,,Beverages—Brewers,Consumer Defensive,1.4824157,101222572032.0,53.24,56.83415,0.11209,0.58182997
24,1SI.DE,Snap Inc,Germany,XETRA,EUR,Common Stock,US83304A1060,3.0,,Internet Content & Information,Communication Services,56.883347,100263501824.0,62.436855,53.172165,-0.22489001,0.54027003
25,1T2.DE,VST BUILDING TECHS AG,Germany,XETRA,EUR,Common Stock,,,,,,,,8.422857,8.996099,,
26,1TY.DE,Prosus N.V,Germany,XETRA,EUR,Common Stock,,5.0,,Internet Content & Information,Communication Services,2.935884,125521092608.0,74.29943,85.697586,1.45602,0.32467
27,1U1.DE,1&1 AG,Germany,XETRA,EUR,Common Stock,DE0005545503,,,Telecom Services,Communication Services,0.9345728,4655989760.0,25.898857,25.379646,0.06312,0.27184
28,1WR.DE,WestRock Company,Germany,XETRA,EUR,Common Stock,,4.0,,Packaging & Containers,Consumer Cyclical,1.0583678,11706443776.0,42.35943,44.10766,-0.04063,0.17899
29,1YD.DE,Broadcom Inc.,Germany,XETRA,EUR,Common Stock,,,,,,,,410.57,393.07874,,
30,2EM.DE,Ergomed plc,Germany,XETRA,EUR,Common Stock,GB00BN7ZCY67,,,Biotechnology,Healthcare,16.127542,851397760.0,14.827143,14.137943,0.112069994,0.5522
31,2FB.DE,FORT.BRAND.HOME+SEC.INC.,Germany,XETRA,EUR,Common Stock,,,,,,,,84.185715,82.35461,,
32,2FE.DE,Ferrari N.V,Germany,XETRA,EUR,Common Stock,NL0011585146,5.0,,Auto Manufacturers,Consumer Cyclical,19.181414,45795536896.0,183.34714,174.14716,0.21077,0.52084
33,2GB.DE,2G Energy AG,Germany,XETRA,EUR,Common Stock,DE000A0HL8N9,7.0,,Specialty Industrial Machinery,Industrials,5.2003846,412620000.0,86.98286,89.048225,0.048499998,0.35224998
34,2HQ.DE,Tilray Inc,Germany,XETRA,EUR,Common Stock,,2.0,,,,4.970339,2087341568.0,21.486734,12.141779,-0.7161,0.24008
35,2HRA.DE,H&R GmbH & Co. KGaA,Germany,XETRA,EUR,Common Stock,DE000A2E4T77,5.0,,Chemicals,Basic Materials,1.2342691,379661344.0,9.510285,7.560851,0.00343,0.25233
36,2M6.DE,Medtronic plc,Germany,XETRA,EUR,Common Stock,IE00BTN1Y115,8.0,,Medical Devices,Healthcare,2.9823415,153503285248.0,110.43285,104.89844,0.119729996,0.65616995
37,2OY.DE,DOW INC.           DL-01,Germany,XETRA,EUR,Common Stock,,,,,,,,52.82857,53.67727,,
38,2PP.DE,PayPal Holdings Inc,Germany,XETRA,EUR,Common Stock,US70450Y1038,6.0,,Credit Services,Financial Services,14.634663,287470714880.0,239.87,224.76561,0.22804001,0.48444998
39,2QU.DE,Onoff AG,Germany,XETRA,EUR,Common Stock,,8.0,,Information Technology Services,Technology,3.764842,25577240.0,13.051429,12.8262415,0.03433,0.74816
40,2X0.DE,CORTEVA INC.      DL -01,Germany,XETRA,EUR,Common Stock,,,,,,,,37.070286,37.932446,,
41,2XT.DE,DXC TECHNOLOGY CO. DL-01,Germany,XETRA,EUR,Common Stock,,,,,,,,32.834286,29.422907,,
42,3E3M.DE,WisdomTree Emerging Markets 3x Daily Leveraged,Germany,XETRA,EUR,Common Stock,,,,,,,,153.69,153.69,,
43,3E3S.DE,WisdomTree Emerging Markets 3x Daily Short,Germany,XETRA,EUR,Common Stock,,,,,,,,4.6424,4.6424,,
44,3QQQ.DE,WITR MU.AS.I. ETP 2062,Germany,XETRA,EUR,Common Stock,,,,,,,,,,,
45,3RB.DE,Reckitt Benckiser Group plc,Germany,XETRA,EUR,Common Stock,,7.0,,Household & Personal Products,Consumer Defensive,5.121589,46746169344.0,67.83428,73.74894,0.08483,0.6028
46,3V64.DE,Visa Inc,Germany,XETRA,EUR,Common Stock,,5.0,,Credit Services,Financial Services,11.754539,418327363584.0,201.02142,191.91992,0.4993,0.96652
47,47I.DE,Arconic Corporation,Germany,XETRA,EUR,Common Stock,US03966V1070,4.0,,Specialty Industrial Machinery,Industrials,2.2213938,3278953472.0,29.262857,26.885815,-0.06831,0.13993
48,48Z.DE,Howmet Aerospace Inc,Germany,XETRA,EUR,Common Stock,US4432011082,,,,,,,27.328,27.212412,,
49,4AB.DE,AbbVie Inc,Germany,XETRA,EUR,Common Stock,US00287Y1091,6.0,,Drug Manufacturers—General,Healthcare,12.202189,167349354496.0,99.08714,94.46163,0.12401,0.68121004
50,4DS.DE,Daldrup & Söhne Aktiengesellschaft,Germany,XETRA,EUR,Common Stock,DE0007830572,4.0,,Oil & Gas Drilling,Energy,1.3745478,25019348.0,4.1794286,4.4440427,-0.19947,0.81351995
51,4I1.DE,Philip Morris International Inc,Germany,XETRA,EUR,Common Stock,US7181721090,6.0,,Tobacco,Consumer Defensive,,138055483392.0,85.384,80.13957,0.29692,0.67586
52,4JMA.DE,JUMIA TECH. SP.ADR/2 O.N.,Germany,XETRA,EUR,Common Stock,,,,,,,,,,,
53,4PG.DE,Otis Worldwide Corp,Germany,XETRA,EUR,Common Stock,US68902V1070,,,,,,,76.47028,65.891205,,
54,4PN.DE,Carrier Global Corporation,Germany,XETRA,EUR,Common Stock,US14448C1045,5.0,,Building Products & Equipment,Industrials,6.5470614,42582999040.0,46.94,39.00284,0.12648,0.29815
55,4XT.DE,XPhyto Therapeutics Corp,Germany,XETRA,EUR,Common Stock,,4.0,,Drug Manufacturers—Specialty & Generic,Healthcare,13.898734,74338560.0,1.2049143,1.4875674,0.0,1.0
56,5CV.DE,CureVac NV,Germany,XETRA,EUR,Common Stock,NL0015436031,5.0,,Biotechnology,Healthcare,14.789447,10856626176.0,52.446,70.666985,-2.6420999,0.71097
57,5EA.DE,ELANCO ANIMAL HEALTH.,Germany,XETRA,EUR,Common Stock,,,,,,,,28.61057,27.547873,,
58,5UR.DE,Raytheon Technologies Corp,Germany,XETRA,EUR,Common Stock,US75513E1010,,,,,,,73.13371,69.67617,,
59,639.DE,Spotify Technology S.A,Germany,XETRA,EUR,Common Stock,LU1778762911,3.0,,,,12.598611,38861115392.0,,,-0.06835,0.25565
60,68V.DE,BAKER HUGHES CO.,Germany,XETRA,EUR,Common Stock,,,,,,,,18.201,18.988539,,
61,690D.DE,Haier Smart Home Co. Ltd,Germany,XETRA,EUR,Common Stock,CNE1000031C1,7.0,,"Furnishings, Fixtures & Appliances",Consumer Cyclical,0.22313523,33642741760.0,1.6895657,1.78061,0.049060002,0.29364002
62,6D81.DE,DUPONT DE NEMOURS INC. ON,Germany,XETRA,EUR,Common Stock,,,,,,,,,,,
63,6MK.DE,Merck & Co. Inc,Germany,XETRA,EUR,Common Stock,,6.0,,Drug Manufacturers—General,Healthcare,6.0864253,164052156416.0,65.29629,62.663284,0.11056,0.72308
64,7HP.DE,HP Inc,Germany,XETRA,EUR,Common Stock,US40434L1052,8.0,,,,,42765164544.0,24.618,25.581596,,
65,8TI.DE,Stellantis NV,Germany,XETRA,EUR,Common Stock,NL00150001Q9,,,,,,,17.040628,15.705912,,
66,8TRA.DE,Traton SE,Germany,XETRA,EUR,Common Stock,DE000TRAT0N7,3.0,,Farm & Heavy Construction Machinery,Industrials,0.94767046,12550000640.0,26.052572,25.473759,-0.0029,0.16745001
67,93M1.DE,MPH Health Care AG,Germany,XETRA,EUR,Common Stock,,3.0,,Drug Manufacturers—Specialty & Generic,Healthcare,0.54032207,108747048.0,26.95143,27.851065,0.0,1.0
68,A1OS.DE,All for One Group SE,Germany,XETRA,EUR,Common Stock,DE0005110001,6.0,,Information Technology Services,Technology,4.4094677,365678816.0,69.16,64.15319,0.0376,0.16631001
69,A4Y.DE,ACCENTRO Real Estate AG,Germany,XETRA,EUR,Common Stock,DE000A0KFKB3,2.0,,Real Estate Services,Real Estate,1.0429704,243284256.0,7.404286,7.955319,0.15589,0.20438999
70,A6T.DE,artec technologies AG,Germany,XETRA,EUR,Common Stock,DE0005209589,6.0,,Consumer Electronics,Technology,2.5811002,9521490.0,3.7622857,3.9451773,0.048460003,0.67244005
71,A7A.DE,FinLab AG,Germany,XETRA,EUR,Common Stock,DE0001218063,,,Asset Management,Financial Services,0.70716,119877408.0,22.397142,23.487234,1.7202901,0.37793
72,A8A.DE,JDC Group AG,Germany,XETRA,EUR,Common Stock,DE000A0B9N37,5.0,,Asset Management,Financial,3.6913896,109637328.0,9.245295,8.778696,-0.00509,0.25939
73,AAD.DE,Amadeus FiRe AG,Germany,XETRA,EUR,Common Stock,DE0005093108,6.0,,Staffing & Employment Services,Industrials,8.596642,1036112448.0,170.65143,149.94469,0.081590004,0.51636004
74,AAG.DE,Aumann AG,Germany,XETRA,EUR,Common Stock,DE000A2DAM03,4.0,,Specialty Industrial Machinery,Industrials,1.4713808,274804992.0,17.466858,15.161844,-0.11965,0.34803
75,AAQ1.DE,aap Implantate AG,Germany,XETRA,EUR,Common Stock,,2.0,,Medical Devices,Healthcare,1.3586787,139813872.0,3.418857,3.1788652,-0.36238,0.95365
76,AB9.DE,ABO Wind AG,Germany,XETRA,EUR,Common Stock,DE0005760029,8.0,,Engineering & Construction,Industrials,3.2122169,450947136.0,47.174286,46.98156,0.08796,0.64878
77,ABEA.DE,Alphabet Inc,Germany,XETRA,EUR,Common Stock,US02079K3059,6.0,,Internet Content & Information,Communication Services,7.105907,1672772059136.0,2329.4,2005.8021,0.2857,0.55723
78,ABEC.DE,Alphabet Inc,Germany,XETRA,EUR,Common Stock,,6.0,,Internet Content & Information,Communication Services,7.154048,1615252553728.0,2356.2144,2038.9624,0.2857,0.55723
79,ABL.DE,Abbott Laboratories,Germany,XETRA,EUR,Common Stock,,8.0,,Medical Devices,Healthcare,5.6990843,191274680320.0,104.592285,99.74993,0.1533,0.56837004
80,ABR.DE,Barrick Gold Corporation,Germany,XETRA,EUR,Common Stock,,7.0,,Gold,Basic Materials,1.2471453,29524498432.0,17.364172,17.880852,0.19188999,0.42658
81,ABS2.DE,PORR AG,Germany,XETRA,EUR,Common Stock,,3.0,,Engineering & Construction,Industrials,0.8177076,502485888.0,16.382856,16.241135,-0.01056,0.33442003
82,ACT.DE,AlzChem Group AG,Germany,XETRA,EUR,Common Stock,,8.0,,Specialty Chemicals,Basic Materials,3.062354,253389872.0,24.9,24.970922,0.06322,0.62590003
83,ACWN.DE,A.S. Création Tapeten AG,Germany,XETRA,EUR,Common Stock,DE000A1TNNN5,8.0,,"Furnishings, Fixtures & Appliances",Consumer Cyclical,0.8805647,69460024.0,25.56,25.605673,0.03662,0.52814
84,ACX.DE,bet-at-home.com AG,Germany,XETRA,EUR,Common Stock,DE000A0DNAY5,,,Gambling,Consumer Cyclical,3.5605483,196854896.0,28.487143,38.23865,0.17915002,0.64467
85,ADE.DE,Bitcoin Group SE,Germany,XETRA,EUR,Common Stock,DE000A1TNV91,,,Asset Management,Financial Services,2.5358703,203250000.0,37.498573,44.265602,0.63321996,0.96782
86,ADJ.DE,Adler Group S.A,Germany,XETRA,EUR,Common Stock,LU1250154413,5.0,,Real Estate Services,Real Estate,0.5827326,2488861952.0,20.950285,23.28383,0.31069002,0.2802
87,ADL.DE,ADLER Real Estate AG,Germany,XETRA,EUR,Common Stock,DE0005008007,4.0,,Real Estate Services,Real Estate,0.55758476,1311718016.0,11.828,12.325248,0.23667999,0.2409
